description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
computus pr rectoris a 2d decr novr 1817 ad eundem recepta,1,1,1817,1817,Computus Pr: Rectoris a 2d Decr. Novr. 1817 ad eundem Recepta,industrial_1760_1840
computus rectoris a 2 die novembris a d 1862,1,1,1863,1863,Computus Rectoris a 2º die Novembris a.d. 1862,post_1840
computus rectoris a 2 die novembris a d 1867,1,1,1868,1868,Computus Rectoris a 2º die Novembris A D 1867,post_1840
computus rectoris a 2do die novembris a d 1856 ad,1,1,1857,1857,Computus Rectoris a 2do die Novembris A.D. 1856 ad,post_1840
computus rectoris a 2do die novembris a d 1858 ad eumdem diem revolution a d 1859,1,1,1858,1858,Computus Rectoris a 2do Die Novembris a.D. 1858 ad eumdem diem revolution a.D. 1859,post_1840
computus rectoris a 2do die novembris a d 1859 ad eundem diem revolutum d d 1860,1,1,1860,1860,Computus Rectoris a 2do die Novembris a.D. 1859 ad eundem diem revolutum d.D. 1860,post_1840
computus rectoris a 2do die novembris a d 1860 ad eundem diem revolutioni a d 1861,1,1,1861,1861,Computus Rectoris a 2do die Novembris a.D. 1860 ad eundem diem revolutioni a D. 1861,post_1840
computus rectoris a 2do die novembris a d 1861,1,1,1862,1862,Computus Rectoris a 2do die Novembris A.D. 1861,post_1840
computus rectoris a 2do die novembris a d 1863 ad eundem diem revolutum 1864,1,1,1864,1864,Computus Rectoris a 2do die Novembris a.d. 1863 ad eundem diem revolutum 1864,post_1840
computus rectoris a 2do die novembris a d 1865,1,1,1866,1866,Computus Rectoris a 2do die Novembris a D. 1865,post_1840
computus rectoris a 2do die novembris ad 1857,1,1,1858,1858,Computus Rectoris a 2do die Novembris AD 1857,post_1840
computus rectoris a 2do die novembris ad 1866,1,1,1867,1867,Computus Rectoris a 2do die Novembris ad. 1866,post_1840
computus rectoris francisci webber a 2do die novembris 1756 ad eundem diem resolutuni 1757,1,1,1757,1757,"Computus Rectoris, Francisci Webber a 2do Die Novembris 1756 ad eundem Diem resolutuni 1757.",pre_1760
computus supra scriptus examinatus et approbatus per nos,1,1,1702,1702,Computus Supra scriptus examinatus et approbatus per nos,pre_1760
computus suprascriptus examinatus approbatum per nos,1,1,1704,1704,Computus suprascriptus examinatus & approbatum per nos,pre_1760
computus suprascriptus examinatus approbatus,1,1,1700,1700,Computus suprascriptus examinatus & approbatus,pre_1760
computus suprascripty et examinata,1,1,1700,1700,Computus Suprascripty et Examinata,pre_1760
computy rectoris a d die novembris 1760 ad eundem diem revolution 1761,1,1,1761,1761,Computy Rectoris a Dō. Die Novembris 1760 ad Eundem Diem revolution 1761.,industrial_1760_1840
coms library,1,1,1718,1718,Coms: Library,pre_1760
concronatore,1,1,1878,1878,Concronatore,post_1840
contain a full strue account of the,1,1,1897,1897,contain a full strue account of the,post_1840
cooper allowance for fixtures aquiting from ly 2,1,1,1847,1847,Cooper allowance for fixtures aquiting from Ly.2,post_1840
corn,1,1,1854,1854,Corn,post_1840
corn rent,1,1,1811,1811,Corn Rent,industrial_1760_1840
cr,1,1,1889,1889,Cr,post_1840
credlington augm red ad fest purificatio s,1,1,1704,1704,Credlington Augm. red ad Fest. Purificatiōs,pre_1760
cum redemptionibus cautionum,1,1,1828,1828,cum Redemptionibus Cautionum.,industrial_1760_1840
cunkard franklin,1,1,1877,1877,Cunkard Franklin,post_1840
curia hastings,1,1,1849,1849,Curia Hastings,post_1840
curia hoystings,1,1,1730,1730,Curia Hoystings,pre_1760
curitati oxon,1,1,1828,1828,Curitati Oxon:,industrial_1760_1840
d from sale of stock,1,1,1884,1884,D From Sale of Stock,post_1840
d no rectori scholaribus et officiariis,1,1,1847,1847,D'no Rectori Scholaribus et Officiariis,post_1840
d o rdi et socijs,1,1,1712,1712,Dño Rdi et socijs,pre_1760
d o rector scholendry officiaries,1,1,1754,1754,D^o Rector Scholendry & Officiaries,pre_1760
d o rectori scholariby officiariis,1,1,1755,1755,"D̃o Rectori, Scholariby & Officiariis.",pre_1760
d rectore scholarum officiariis,1,1,1751,1751,Dº Rectore Scholarum & officiariis,pre_1760
d richards exhibition,1,1,1884,1884,D. Richards Exhibition,post_1840
d s d,1,1,1764,1764,D. S. d.,industrial_1760_1840
d sale of stock,1,1,1889,1889,D. Sale of Stock.,post_1840
dan o br n uncertain,1,1,1709,1709,Dan. O?br?n? (uncertain),pre_1760
dar osborn xcs,1,1,1703,1703,Dar: Osborn xcs.,pre_1760
dary gwygnew,1,1,1881,1881,Dary Gwygnew,post_1840
de solut is,1,1,1702,1702,De Solut'is,pre_1760
debentur computand ex pede superius corporum,1,1,1707,1707,Debentur computand. ex pede superius corporum,pre_1760
debentur computanti ex pede superioris comput 25,1,1,1707,1707,Debentur computanti ex pede superioris Comput. 25,pre_1760
debentur rr ex pede superioris computi,1,1,1708,1708,Debentur Rrī ex pede superioris computi,pre_1760
debtors on the same acct viz,1,1,1823,1823,Debtors. on the same Acct. viz.,industrial_1760_1840
dec 11,1,1,1880,1880,Dec 11,post_1840
deficit,1,1,1873,1873,Deficit,post_1840
denny,1,1,1873,1873,Denny,post_1840
die novembris 1712 ad eundem diem revolutum 1713,1,1,1713,1713,Die Novembris 1712 ad Eundem diem revolutum 1713,pre_1760
die novembris a d 1806 ad eundem,1,1,1807,1807,die Novembris A.D. 1806 ad eundem,industrial_1760_1840
die novris 23 1708,1,1,1708,1708,Die Novris 23. 1708,pre_1760
diem novation 1818,1,1,1817,1817,Diem novation 1818,industrial_1760_1840
diem novembris a d 1806,1,1,1806,1806,diem Novembris A. D. 1806.,industrial_1760_1840
diem reditum a d 1815,1,1,1814,1814,Diem reditum A.D. 1815,industrial_1760_1840
diem revolution 1749,1,1,1749,1749,diem Revolution 1749.,pre_1760
diem revolutum 1747,1,1,1747,1747,Diem revolutum 1747.,pre_1760
diem revolutum 1751,1,1,1751,1751,Diem revolutum 1751'.,pre_1760
diem revolutum a d 1807,1,1,1807,1807,diem revolutum A.D. 1807.,industrial_1760_1840
diem revolutum a d 1853,1,1,1853,1853,diem revolutum A.D. 1853.,post_1840
disbursement,1,1,1728,1728,Disbursement,pre_1760
dividend for 1 2 quarter to may 3 paid by order of the college by rector,1,1,1882,1882,Dividend for 1/2 Quarter to May 3 paid by order of the College by Rector,post_1840
dividend for 1 2 quarter to midsummer under new statutes by order of the college,1,1,1882,1882,Dividend for 1/2 Quarter to Midsummer under New Statutes by order of the College,post_1840
dividends ad fest jun 1837,1,1,1838,1838,Dividends ad Fest. Jun 1837,industrial_1760_1840
dne quit rent mie,1,1,1724,1724,Dne Quit Rent Mie:,pre_1760
dno lines,1,1,1836,1836,Dno Lines,industrial_1760_1840
dno r et socijs,1,1,1720,1720,Dno Rī et Socijs,pre_1760
dno r r et socijs,1,1,1708,1708,Dno R'r et Socijs,pre_1760
dno recto et sociis,1,1,1735,1735,Dno Recto et Sociis.,pre_1760
dno rector scholarius,1,1,1744,1744,Dno Rector & Scholarius,pre_1760
dno rectore schol officiarius,1,1,1812,1812,Dno Rectore Schol: & Officiarius,industrial_1760_1840
dno rectori et socijs,1,1,1732,1732,Dno Rectori et Socijs,pre_1760
dno rectori et socys,1,1,1710,1710,Dno Rectori et Socys,pre_1760
dno rectori schol officiarius,1,1,1814,1814,Dno Rectori Schol: & Officiarius,industrial_1760_1840
dno rectori scholar et officiar,1,1,1818,1818,"Dno Rectori, Scholar: et Officiar:",industrial_1760_1840
dno rectori scholar et officior,1,1,1822,1822,Dno. Rectori. Scholar. et Officior.,industrial_1760_1840
dno rectori scholaribus et officiariis 15ths vid sol var,1,1,1823,1823,"Dno Rectori. Scholaribus. et Officiariis. 15ths, vid. Sol. Var.",industrial_1760_1840
dno rectori scholaribus et officiaruis,1,1,1842,1842,Dno. Rectori Scholaribus et Officiaruis,post_1840
dno rectori scholaribus officiaris,1,1,1840,1840,Dno Rectori Scholaribus & Officiaris,industrial_1760_1840
dno rectori scholariibus officariis,1,1,1809,1809,"Dno Rectori, Scholariibus, & Officariis",industrial_1760_1840
dno rectoris et socijs,1,1,1706,1706,Dno Rectoris et Socijs,pre_1760
dno rectoris scholartus,1,1,1830,1830,Dno Rectoris. Scholartus.,industrial_1760_1840
dno rectri et socyis,1,1,1700,1700,Dno Rectri et Socyis,pre_1760
dno reed in associjs,1,1,1737,1737,Dno Reed in Associjs,pre_1760
dno ric et socii,1,1,1725,1725,Dno Ric: Et Socii,pre_1760
dno rr el socys,1,1,1714,1714,Dno Rr el Socys,pre_1760
dno rri et socys,1,1,1703,1703,Dno Rri et Socys,pre_1760
dno xri et socijs,1,1,1713,1713,Dno Xri et Socijs,pre_1760
do additionsae,1,1,1866,1866,Do Additionsae,post_1840
do do smalle fees 5s,1,1,1878,1878,Do. Do. Smalle fees 5s.,post_1840
do gardens,1,1,1881,1881,Do Gardens.,post_1840
do rector scholaribus officiarius,1,1,1756,1756,"Do Rector, Scholaribus & Officiarius -",pre_1760
do rectori scholarly officioriis,1,1,1757,1757,"Do Rectori, Scholarly, & Officioriis",pre_1760
dom rector scholar officiariis,1,1,1811,1811,"Domⁿº Rector, Scholar. & Officiariis",industrial_1760_1840
dom rectori et socijs,1,1,1730,1730,Dom: Rectori et Socijs,pre_1760
domas fund payments,1,1,1872,1872,Domas Fund payments,post_1840
domen wine bill,1,1,1851,1851,Domen Wine bill &,post_1840
domus,1,1,1879,1879,Domus,post_1840
domus and payment,1,1,1871,1871,"Domus - and Payment,",post_1840
domus fund,1,1,1869,1869,Domus Fund.,post_1840
domus fund payment on aut,1,1,1869,1869,Domus Fund payment on aut,post_1840
domus fund payments on aut of,1,1,1869,1869,Domus Fund Payments on aut of,post_1840
domus pay ments,1,1,1878,1878,Domus Pay ments,post_1840
domus ralles,1,1,1873,1873,Domus Ralles,post_1840
don loci et soey s,1,1,1715,1715,Don Loci et Soey's,pre_1760
donation for chapel,1,1,1864,1864,Donation for Chapel,post_1840
donors fund receipts,1,1,1873,1873,Donors Fund Receipts,post_1840
donum receipts,1,1,1876,1876,Donum Receipts,post_1840
donus payments,1,1,1882,1882,Donus payments,post_1840
dr,1,1,1889,1889,Dr,post_1840
dr h a dayman subrectorem,1,1,1840,1840,Dr. H. A. Dayman Subrectorem,industrial_1760_1840
dr rector scholar officiari,1,1,1817,1817,"Dr. Rector, Scholar & Officiari",industrial_1760_1840
dr richards exhibition,1,1,1889,1889,Dr Richards Exhibition,post_1840
dr richards prize fund,1,1,1889,1889,Dr Richards Prize Fund,post_1840
dudley bowler plumbers c,1,1,1834,1834,Dudley & Bowler - Plumbers &c,industrial_1760_1840
due from rectr to the 3 colleges,1,1,1882,1882,Due from Rectr to the 3 Colleges,post_1840
due to alms fund rects to the account,1,1,1882,1882,Due to alms Fund (Rects to the account),post_1840
dues,1,1,1898,1898,Dues,post_1840
dues composition,1,1,1893,1893,Dues Composition,post_1840
dues to the college,1,1,1898,1898,Dues to the College:-,post_1840
dul,1,1,1881,1881,Dul,post_1840
duly kept in proper books of account and that,1,1,1893,1893,"duly kept in proper Books of Account, and that",post_1840
duly kept in proper books of account and that the account of the financial condition of the college,1,1,1895,1895,duly kept in proper books of Account and that the account of the financial condition of the College.,post_1840
duly kept in proper books of account that,1,1,1894,1894,duly Kept in proper books of Account & that,post_1840
duo rectori scholaribus,1,1,1742,1742,Duo Rectori & Scholaribus.,pre_1760
e j dayman a m,1,1,1833,1833,E. J. Dayman .... A. M.,industrial_1760_1840
e ray lancaster fellow,1,1,1873,1873,E. Ray Lancaster. Fellow,post_1840
e webber a m,1,1,1742,1742,E. Webber A.M.,pre_1760
eadlington augm t recd,1,1,1713,1713,Eadlington Augm't. recd,pre_1760
easter offering,1,1,1879,1879,Easter Offering,post_1840
edwardum eliot a m,1,1,1821,1821,Edwardum Eliot. A. M.,industrial_1760_1840
edwardum rodd a m,1,1,1801,1801,Edwardum Rodd A.M.,industrial_1760_1840
end of list blank lines,1,1,1704,1704,— (end of list / blank lines),pre_1760
entrances at 5,1,1,1879,1879,Entrances at 5,post_1840
et charges less overpaid,1,1,1877,1877,Et Charges less overpaid,post_1840
et officiariis,1,1,1852,1852,et officiariis,post_1840
eundem diem resolutum 1710,1,1,1710,1710,eundem diem resolutum 1710.,pre_1760
eundem diem revolution a d 1855,1,1,1855,1855,eundem diem revolution A. D. 1855,post_1840
eundem diem revolution ad 1857,1,1,1857,1857,eundem diem revolution Ad 1857,post_1840
eundem diem revolutum a d 1805,1,1,1804,1804,eundem diem revolutum A.D. 1805,industrial_1760_1840
evan webber sub rect,1,1,1736,1736,Evan: Webber & Sub-Rectⁿ,pre_1760
ex thesauro,1,1,1732,1732,Ex Thesauro,pre_1760
exaegesis rectoris 2 die novembris,1,1,1808,1808,Exaegesis Rectoris 2 die Novembris,industrial_1760_1840
exam approbatus per,1,1,1741,1741,Exam. & approbatus per,pre_1760
examind and approved,1,1,1863,1863,Examind and approved,post_1840
examined and,1,1,1869,1869,Examined and,post_1840
examined and approved j p lyttifoot rector,1,1,1868,1868,Examined and approved J. P. Lyttifoot Rector,post_1840
exeter college oxford,1,1,1883,1883,Exeter College Oxford,post_1840
exors of dr richards 2000l,1,1,1809,1809,Exors of Dr Richards — 2000L,industrial_1760_1840
extracta e thefaure,1,1,1719,1719,Extracta E thefaure,pre_1760
extracta e thesauro,1,1,1718,1718,Extracta E Thesauro.,pre_1760
extrde e colledg thospaur,1,1,1716,1716,Extrde e Colledg Thospaur,pre_1760
f p branum,1,1,1752,1752,F. P. Branum,pre_1760
f upton a m,1,1,1752,1752,F: Upton A:M:,pre_1760
fast supper of,1,1,1710,1710,fast Supper of,pre_1760
faulkner allowance for repairs viz,1,1,1844,1844,Faulkner allowance for repairs viz,post_1840
faulkner bills,1,1,1858,1858,Faulkner - Bills.,post_1840
faulkner team bile,1,1,1863,1863,Faulkner Team Bile.,post_1840
feb 10 1762,1,1,1762,1762,Feb: 10. 1762.,industrial_1760_1840
feb 14,1,1,1763,1763,Feb. 14.,industrial_1760_1840
feb 17 1896,1,1,1895,1895,Feb. 17 - 1896,post_1840
feb 21 allowed mr coperal for darley s batt overplus paid,1,1,1746,1746,Feb. 21. allowed Mr Coperal for Darley's Batt. Overplus Paid,pre_1760
feb 22 1895,1,1,1894,1894,Feb. 22 1895,post_1840
feb 8 1894 jackson risley browning co,1,1,1893,1893,Feb. 8. 1894 (Jackson Risley Browning & Co),post_1840
february 21st 1893,1,1,1892,1892,"February 21st, 1893.",post_1840
february 26th 1898,1,1,1897,1897,February 26th 1898,post_1840
fees fund,1,1,1869,1869,Fees Fund,post_1840
fees fund payments,1,1,1870,1870,Fees. Fund. payments,post_1840
fees fund payments on acct of,1,1,1869,1869,Fees. Fund. Payments on acct of,post_1840
fellows table,1,1,1732,1732,Fellows Table,pre_1760
fest ann stipend,1,1,1746,1746,Fest. Ann. Stipend -,pre_1760
fest annun,1,1,1761,1761,Fest Annun:,industrial_1760_1840
fest d f b stipend,1,1,1746,1746,Fest. D.F.B. Stipend,pre_1760
fest mich,1,1,1761,1761,Fest: Mich:,industrial_1760_1840
fest nat stipend,1,1,1746,1746,Fest. Nat. Stipend -,pre_1760
feued rents variable,1,1,1829,1829,"Feued Rents, Variable",industrial_1760_1840
filialia varia,1,1,1809,1809,Filialia Varia,industrial_1760_1840
financial condition of the college,1,1,1897,1897,financial condition of the College.,post_1840
fines solut scholari de inguls guer sons,1,1,1738,1738,Fines solut Scholari de Inguls Guer. & Sons.,pre_1760
fines to mr le bretten,1,1,1704,1704,"Fines, to mr Le Bretten",pre_1760
first annum,1,1,1762,1762,First annum.,industrial_1760_1840
for act supper of,1,1,1708,1708,For Act Supper of,pre_1760
for act supper reed of,1,1,1706,1706,For Act Supper Reed of,pre_1760
for battells and increments,1,1,1709,1709,For Battells and increments,pre_1760
for gent comoners reed of,1,1,1706,1706,For Gent. Comoners reed of,pre_1760
for the comons library omitted this year,1,1,1709,1709,For the Comons Library omitted this year,pre_1760
for ye commoners library,1,1,1706,1706,For ye Commoners Library,pre_1760
forgent comoners,1,1,1710,1710,Forgent Comoners,pre_1760
fr webber decanus,1,1,1735,1735,Fr: Webber Decanus.,pre_1760
fra upton a m,1,1,1749,1749,Fra: Upton A.M.,pre_1760
fran webber subrector,1,1,1741,1741,Fran. Webber SubRector.,pre_1760
francijcus webber subrector,1,1,1743,1743,Francijcus Webber SubRector.,pre_1760
francis webber subrect,1,1,1740,1740,Francis Webber SubRect.,pre_1760
franciscus webber,1,1,1731,1731,Franciscus Webber,pre_1760
franciscus webber sub rector,1,1,1746,1746,Franciscus Webber Sub Rector-,pre_1760
franciscus webber subrectr,1,1,1745,1745,Franciscus Webber SubRectr,pre_1760
francisum upton a m,1,1,1748,1748,Francisum Upton A. M.,pre_1760
francisum webber s j b,1,1,1747,1747,Francisum Webber S. J. B.,pre_1760
franklyn,1,1,1708,1708,Franklyn,pre_1760
fred t colby sen bursar,1,1,1868,1868,"Fred. T. Colby, Sen. Bursar",post_1840
frederic t colby burran,1,1,1864,1864,"Frederic T. Colby, Burran",post_1840
frederic t colby bursar,1,1,1865,1865,Frederic T. Colby. Bursar,post_1840
frederic t colby fellow,1,1,1870,1870,"Frederic T. Colby, Fellow",post_1840
frederic t colly bursar,1,1,1857,1857,Frederic T Colly Bursar,post_1840
fredericum fanshawe bursarium sen r,1,1,1854,1854,Fredericum Fanshawe Bursarium Sen^r,post_1840
frethenim,1,1,1710,1710,Frethenim,pre_1760
frideric t colby bursar,1,1,1866,1866,"Frideric T. Colby, Bursar",post_1840
from rate compositions fund,1,1,1884,1884,From Rate Compositions Fund.,post_1840
frowesworth,1,1,1812,1812,Frowesworth,industrial_1760_1840
full and true account of the financial condition,1,1,1893,1893,full and true account of the financial condition.,post_1840
funds applicable wholly or in part to purposes within the college,1,1,1883,1883,"Funds applicable wholly or in part to purposes, within the College",post_1840
furniture,1,1,1895,1895,Furniture,post_1840
furrill,1,1,1867,1867,Furrill,post_1840
g dauber decanum,1,1,1833,1833,G. Dauber. Decanum.,industrial_1760_1840
gardner,1,1,1859,1859,Gardner.,post_1840
gardner benson barn door,1,1,1863,1863,Gardner Benson Barn door,post_1840
gardner jen,1,1,1859,1859,Gardner. Jen.,post_1840
gardner pew,1,1,1863,1863,Gardner Pew.,post_1840
gardner tees,1,1,1860,1860,Gardner. Tees.,post_1840
gardner tew,1,1,1861,1861,Gardner Tew,post_1840
garsington estate expences of purchase,1,1,1877,1877,Garsington Estate Expences of purchase,post_1840
ge paynter ry,1,1,1703,1703,Ge. Paynter Ry,pre_1760
